businessUnitId,businessUnitName,businessUnitOwnerId,createdOn,updatedOn,updatedBy
1,Finance,1,2018-12-18 16:26:08.270,1900-01-01 00:00:00.000,1
2,CIE,1,2018-12-18 16:26:08.273,1900-01-01 00:00:00.000,1
3,Legal,1,2018-12-18 16:26:08.273,1900-01-01 00:00:00.000,1
4,SSG.,1,2018-12-18 16:26:08.273,1900-01-01 00:00:00.000,1
